text,rt_count, fav_count
There would be no MSG without @iamdiddy my OG. He fought this war 15 years ago. Respect OG.,8191,28401
You have supported me since the beginning and I'm so happy to call you my friend!!!,11759,41018
The boss: thank so much Anna for coming to my show!!! https://t.co/VAwzk0SDUw,11896,48784
The album is being mastered and will be out today… added on a couple of tracks… https://t.co/6lBxcd83N2,156391,181100
Now that the album is finally finished it’s back to Good Fridays. https://t.co/j5vq347xCC,46031,57146
I want to be the creative director of Hermes…,16728,42963
not just the famous people there    but the kids   the moms the dads  the families that came to share this moment with us,10998,30673
9th   It felt like a seen from The Warriors     ALL GODS   ALL GODS ALL GODS in the buildin,12804,26366
but you can see at Madison Square Garden that you can stop us,10683,24929
8th   They want to control us with money and perception and mute the culture,28848,38768
7th  I miss that feeling  so that’s what I want to help restore,13434,26446
That’s why music is so fucking watered down right now    I miss that DMX feeling,33009,51519
6th  Stop trying to demonize real artist     Stop trying to compromise art,23754,36142
I can’t be mad at Kanye because he made me famous!  #FACTS,35683,50997
She was having dinner with one of our friends who’s name I will keep out of this and she told him,14107,26069
5th  thing I’m not even gone take credit for the idea… it’s actually something Taylor came up with …,18819,32669
4th Bitch is an endearing term in hip hop  like the word Nigga,28694,43429
3rd thing    I called Taylor and had a hour long convo with her about the line and she thought it was funny and gave her blessings,25037,43496
2nd thing   I asked my wife  for her blessings and she was cool with it,18471,36121
First thing is I’m an artist and as an artist I will express how I feel with no censorship,30571,46649
I did not diss Taylor Swift and I’ve never dissed her…,30279,48825
Photos by Lukas Wassmann,2081,10956
Family,25913,43115
Father Stretch My Hands.... I cried writing this.  I love my Dad https://t.co/bkbNnU0BEH,43137,85728
WE’RE RELEASING MORE TICKETS FOR TODAYS SHOW AT MADISON SQUARE GARDEN… https://t.co/BwvStxRTEC,3242,11338
Zine party with Jackie Nickerson Virgil Abloh Heron Preston #goodjobwillo https://t.co/GEKOfLzOZ1,6751,21980
Final track list for The Life Of Pablo https://t.co/PMH94MAAeJ,74907,89850
Please no one text me or ask me for anything till Monday.,61223,73132
Seating https://t.co/xOJI2y0TvM,3727,15993
Season 3 invite https://t.co/lhVebPlTJd,7299,20375
in the booth https://t.co/Kpgs1qbVii,23662,48862
Wow this is pretty cool ... good job NIKE team... Lebron is my brother https://t.co/QrzpkRwWAk,7746,22946
BILL COSBY INNOCENT !!!!!!!!!!,44858,54058
I'm sorry Michael Jordan    I love and respect you. My beef was with Mark Parker. I respect you so much!,17190,39647
Now they know https://t.co/6c3OXYmkPG,39913,64659
Puma we gone give you your measly million dollars back!!! Never try to divide the family!!!,15801,32673
1000% there will never be a Kylie Puma anything. That's on my family! 1000% Kylie is on Yeezy team!!!,28671,54030
Material for Merch stand #goodjobwillo https://t.co/e7nMtSv0ej,2676,12180
Love love love love love my baby girl  #lovemyfamily https://t.co/YacTKSyVFE,27130,83161
2017? https://t.co/hxdDMhHcr1,11680,33513
Season 4 I’m only working on kid’s clothing...full time,11267,42687
That's the new album anybody who can figure out the title gets tickets to Season 3 and free Yeezys,33260,64274
@studio /final verses /new album title  T.L.O.P. https://t.co/yXKbFl9w6W,22794,31125
Location scouting for Zine party February 10th  with @ Jackie Nickerson    … #Goodjobwillow https://t.co/ff4OXU5f47,2497,8780
I have to call @FloydMayweather and @LeoDicaprio, I spoke to @MikeTyson yesterday,10152,24747
Season 2 Zine pronounced Zeen short for magazine.    A lot of people pronounce it wrong. https://t.co/jnmLFV3wZN,8121,22767
SEASON 3  https://t.co/8T1uPQewkc,12156,26229
Caught 10,000 retweets in half a second #facts,12904,33420
There may be a new secret album title,41241,73039
ALSO THANK YOU @FuckTyler FOR THE BEAT https://t.co/dyCBUtsWRx,18682,43027
THANK YOU GUYS KIMOJI IS NUMBER 1 ON THE APP STORE   https://t.co/qjmsUYOzAp https://t.co/L0FBBgk9Gs,3791,15653
I held a few seats for stage design that may open up depending on Vanessa’s final layout.,3751,15318
THANK YOU SO MUCH GUYS WE SOLD MADISON SQUARE GARDEN OUT IN 10 MINUTES!!!,15747,49525
On February 11th these dreams come true,30797,48960
It was always a dream to show my collection at Madison Square Garden,7402,22560
It was always a dream to have a listening party at Madison Square Garden,7873,23437
Aye Billboard you could use the term “unauthorized" but never refer to anything that me and Tyler do as fake out of respect to musicians…,14522,39470
@billboard … it’s not a fake cover… you seen it didn’t you… you know we shot it didn’t you…,5490,12575
Should this be a Rolling Stone cover?  Yes or No,5930,10419
I bet you this still becomes the cover though... Let's do another poll.....,0,0
#trollingstone,7746,24003
ROLLING STONE SHOT BY TYLER THE CREATOR https://t.co/lOMtOdOEel,83561,147753
So many musicians touch my life and made me who I am…    I want to make something great to honor my idols…,22882,51993
this new album is ONE of the greatest albums not the greatest just one of …,32766,56923
